Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Country,Action
SEE,American Tower Corporation,REITs,Large cap,Real Estate,"$126,593,413,183 ",1.70%,USA,Analyze
ZION,Applied Material Inc,Common stocks,Large cap,Information Technology,"$126,568,055,091 ",0.65%,USA,Analyze
CNXC,Estee Lauder Inc Class A,Common stocks,Large cap,Consumer Staples,"$120,530,847,907 ",0.62%,USA,Analyze
JBL,Nvidia Corp,Common stocks,Large cap,Information Technology,"$120,201,620,000 ",0.08%,USA,Analyze
ITT,3M,Common stocks,Large cap,Industrials,"$116,903,057,653 ",2.89%,USA,Analyze
GMED,Caterpillar Inc,Common stocks,Large cap,Industrials,"$115,599,522,687 ",1.98%,USA,Analyze
AMED,Servicenow Inc,Common stocks,Large cap,Information Technology,"$115,349,114,005 ",0.00%,USA,Analyze
AN,Intuitive Surgical Inc,Common stocks,Large cap,Health Care,"$114,722,063,123 ",0.00%,USA,Analyze
HII,General Electric,Common stocks,Large cap,Industrials,"$113,420,041,720 ",0.31%,USA,Analyze
OSK,Advanced Micro Devices Inc,Common stocks,Large cap,Information Technology,"$111,563,226,016 ",0.00%,USA,Analyze
UTHR,Square Inc Class A,Common stocks,Large cap,Information Technology,"$111,345,750,000 ",0.00%,USA,Analyze
OPEN,Deere & Company,Common stocks,Large cap,Industrials,"$110,882,936,022 ",0.93%,USA,Analyze
LECO,CVS Health Corp,Common stocks,Large cap,Health Care,"$109,103,979,470 ",2.39%,USA,Analyze
ADT,"Zoom Video Communications, Inc. - Class A",Common stocks,Large cap,Information Technology,"$106,720,654,965 ",0.00%,USA,Analyze
PLAN,Lockheed Martin Corp,Common stocks,Large cap,Industrials,"$102,293,603,179 ",2.74%,USA,Analyze
RL,S&P Global Inc,Common stocks,Large cap,Financials,"$99,582,448,095 ",0.69%,USA,Analyze
DCI,Stryker Corp,Common stocks,Large cap,Health Care,"$99,284,365,127 ",0.93%,USA,Analyze
IAA,Zoetis Inc,Common stocks,Large cap,Health Care,"$95,342,648,895 ",0.47%,USA,Analyze
JEF,"Prologis, Inc",REITs,Large cap,Real Estate,"$94,676,148,540 ",1.88%,USA,Analyze
REXR,Anthem Inc,Common stocks,Large cap,Health Care,"$92,284,159,180 ",1.09%,USA,Analyze
AIRC,Fidelity National Information Services,Common stocks,Large cap,Information Technology,"$92,039,035,318 ",0.99%,USA,Analyze
HRC,Booking Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$91,576,509,959 ",0.00%,USA,Analyze
KNX,Lam Research Corp,Common stocks,Large cap,Information Technology,"$91,332,002,985 ",0.81%,USA,Analyze
OMF,Mondelez International Inc,Common stocks,Large cap,Consumer Staples,"$91,081,475,764 ",1.93%,USA,Analyze
KRC,Altria Group Inc,Common stocks,Large cap,Consumer Staples,"$88,108,873,942 ",7.04%,USA,Analyze
KSS,Automatic Data Processing Inc,Common stocks,Large cap,Information Technology,"$87,771,663,866 ",1.78%,USA,Analyze
EHC,"Uber Technologies, Inc.",Common stocks,Large cap,Industrials,"$87,109,011,873 ",0.00%,USA,Analyze
BYND,Gilead Sciences Inc,Common stocks,Large cap,Health Care,"$86,224,748,913 ",3.98%,USA,Analyze
TPX,Micron Technology Inc,Common stocks,Large cap,Information Technology,"$85,894,996,628 ",0.00%,USA,Analyze
MRTX,US Bancorp,Common stocks,Large cap,Financials,"$83,690,106,782 ",2.96%,USA,Analyze
BC,Crown Castle International Corp.,REITs,Large cap,Real Estate,"$83,084,137,547 ",2.67%,USA,Analyze
CACC,"TJX Companies, Inc.",Common stocks,Large cap,Consumer Discretionary,"$82,909,799,422 ",0.76%,USA,Analyze
GNTX,"HCA Healthcare, Inc.",Common stocks,Large cap,Health Care,"$81,261,895,680 ",0.39%,USA,Analyze
SITE,General Motors,Common stocks,Large cap,Consumer Discretionary,"$80,903,914,420 ",0.00%,USA,Analyze
CPRI,Duke Energy Corp,Common stocks,Large cap,Utilities,"$80,444,918,418 ",3.64%,USA,Analyze
RGLD,FedEx Corporation,Common stocks,Large cap,Industrials,"$79,536,099,020 ",0.90%,USA,Analyze
WWD,"PNC Financial Services Group, Inc.",Common stocks,Large cap,Financials,"$78,394,862,557 ",2.52%,USA,Analyze
VOYA,Cigna Corp,Common stocks,Large cap,Health Care,"$78,388,169,214 ",0.87%,USA,Analyze
CHE,Blackstone Group Inc. Class A,Common stocks,Large cap,Financials,"$77,516,521,153 ",2.35%,USA,Analyze
TSP,ConocoPhillips,Common stocks,Large cap,Energy,"$76,741,427,479 ",2.99%,USA,Analyze
USFD,Snowflake Inc. Class A,Common stocks,Large cap,Information Technology,"$76,442,961,101 ",0.00%,USA,Analyze
ALK,Sherwin Williams,Common stocks,Large cap,Materials,"$75,923,291,808 ",0.70%,USA,Analyze
NTNX,Chubb Ltd,Common stocks,Large cap,Financials,"$75,610,973,281 ",1.85%,USA,Analyze
OGN,CME Group Inc Class A,Common stocks,Large cap,Financials,"$75,564,159,258 ",1.64%,USA,Analyze
ORI,Marsh & McLennan Inc,Common stocks,Large cap,Financials,"$74,798,253,043 ",0.94%,USA,Analyze
STWD,"Equinix, Inc.",REITs,Large cap,Real Estate,"$74,307,427,826 ",1.33%,USA,Analyze
MTZ,Fiserv Inc,Common stocks,Large cap,Information Technology,"$74,244,770,686 ",0.00%,USA,Analyze
SAM,CSX Corp,Common stocks,Large cap,Industrials,"$74,150,370,480 ",1.09%,USA,Analyze
PVH,Truist Financial Corporation,Common stocks,Large cap,Financials,"$73,832,000,053 ",3.24%,USA,Analyze
SPCE,Capital One Financial Corp,Common stocks,Large cap,Financials,"$73,294,779,943 ",0.61%,USA,Analyze
CHDN,Becton Dickinson,Common stocks,Large cap,Health Care,"$72,538,859,453 ",1.31%,USA,Analyze
RGA,Illumina Inc,Common stocks,Large cap,Health Care,"$71,760,460,000 ",0.00%,USA,Analyze
XLRN,Illinois Tool Inc,Common stocks,Large cap,Industrials,"$71,705,380,164 ",1.99%,USA,Analyze
CASY,Colgate-Palmolive,Common stocks,Large cap,Consumer Staples,"$71,137,514,710 ",2.10%,USA,Analyze
AA,Moodys Corp,Common stocks,Large cap,Financials,"$71,096,688,000 ",0.62%,USA,Analyze
SKX,Activision Blizzard Inc,Common stocks,Large cap,Communication Services,"$70,040,290,656 ",0.52%,USA,Analyze
NYT,Dell Technologies Inc. Class C,Common stocks,Large cap,Information Technology,"$69,837,040,000 ",0.00%,USA,Analyze
MAT,Autodesk Inc,Common stocks,Large cap,Information Technology,"$69,000,575,850 ",0.00%,USA,Analyze
FAF,Intercontinental Exchange Inc,Common stocks,Large cap,Financials,"$67,773,879,875 ",1.04%,USA,Analyze
BEPC,Edwards Lifesciences Corp,Common stocks,Large cap,Health Care,"$67,690,028,648 ",0.00%,USA,Analyze
APA,Southern Co,Common stocks,Large cap,Utilities,"$67,532,214,139 ",3.99%,USA,Analyze
CHPT,Norfolk Southern Corp,Common stocks,Large cap,Industrials,"$67,377,138,678 ",1.45%,USA,Analyze
EEFT,Atlassian Plc Class A,Common stocks,Large cap,Information Technology,"$66,901,420,535 ",0.00%,United Kingdom,Analyze
AMG,Twilio Inc Class A,Common stocks,Large cap,Information Technology,"$64,663,856,084 ",0.00%,USA,Analyze
OLN,Air Products And Chemicals Inc,Common stocks,Large cap,Materials,"$63,986,378,273 ",1.95%,USA,Analyze
RNR,Ecolab Inc,Common stocks,Large cap,Materials,"$62,660,320,959 ",0.87%,USA,Analyze
FR,Boston Scientific Corp,Common stocks,Large cap,Health Care,"$62,477,450,294 ",0.00%,USA,Analyze
JHG,"Eaton Corporation, PLC",Common stocks,Large cap,Industrials,"$62,177,955,000 ",1.89%,USA,Analyze
TOL,Waste Management Inc,Common stocks,Large cap,Industrials,"$61,921,847,769 ",1.52%,USA,Analyze
SBNY,Roku Class A,Common stocks,Large cap,Communication Services,"$60,863,449,024 ",0.00%,USA,Analyze
ACC,Dominion Energy Inc,Common stocks,Large cap,Utilities,"$60,561,912,465 ",3.72%,USA,Analyze
SF,Regeneron Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$60,490,581,766 ",0.00%,USA,Analyze
FCNCA,Analog Devices Inc,Common stocks,Large cap,Information Technology,"$60,450,731,860 ",1.59%,USA,Analyze
CHNG,Humana Inc,Common stocks,Large cap,Health Care,"$60,289,731,881 ",0.57%,USA,Analyze
TMX,Docusign Inc.,Common stocks,Large cap,Information Technology,"$59,574,736,171 ",0.00%,USA,Analyze
DKS,Emerson Electric,Common stocks,Large cap,Industrials,"$58,974,498,000 ",2.03%,USA,Analyze
COTY,DoorDash Inc,Common stocks,Large cap,Consumer Discretionary,"$58,478,029,400 ",0.00%,USA,Analyze
XEC,Idexx Laboratories Inc,Common stocks,Large cap,Health Care,"$58,474,386,028 ",0.00%,USA,Analyze
PNFP,Northrop Grumman Corp,Common stocks,Large cap,Industrials,"$57,665,962,378 ",1.64%,USA,Analyze
FRPT,Aon Plc,Common stocks,Large cap,Financials,"$56,763,822,210 ",0.74%,USA,Analyze
AXTA,Global Payments Inc,Common stocks,Large cap,Information Technology,"$56,421,628,789 ",0.41%,USA,Analyze
VMEO,Progressive Corp,Common stocks,Large cap,Financials,"$55,378,906,608 ",5.17%,USA,Analyze
OGE,Ford Motor Company,Common stocks,Large cap,Consumer Discretionary,"$55,008,717,133 ",0.00%,USA,Analyze
NVST,Public Storage,REITs,Large cap,Real Estate,"$54,883,643,392 ",2.52%,USA,Analyze
PBCT,Twitter Inc,Common stocks,Large cap,Communication Services,"$54,823,318,283 ",0.00%,USA,Analyze
BRX,NXP Semiconductors Nv,Common stocks,Large cap,Information Technology,"$54,642,683,015 ",0.94%,The Netherlands,Analyze
CFR,Dollar General Corp,Common stocks,Large cap,Consumer Discretionary,"$54,320,176,535 ",0.68%,USA,Analyze
VAC,General Dynamics Corp,Common stocks,Large cap,Industrials,"$54,236,167,089 ",2.36%,USA,Analyze
POST,"Freeport-McMoRan, Inc.",Common stocks,Large cap,Materials,"$53,711,558,063 ",0.41%,USA,Analyze
CHH,"CrowdStrike Holdings, Inc. - Class A",Common stocks,Large cap,Information Technology,"$52,765,813,944 ",0.00%,USA,Analyze
COLM,Roper Technologies Inc,Common stocks,Large cap,Industrials,"$51,543,971,134 ",0.45%,USA,Analyze
BRKS,Vertex Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$51,496,147,932 ",0.00%,USA,Analyze
WH,Keurig Dr Pepper Inc.,Common stocks,Large cap,Consumer Staples,"$51,098,092,481 ",0.41%,USA,Analyze
X,Metlife Inc,Common stocks,Large cap,Financials,"$50,817,838,254 ",3.16%,USA,Analyze
PAG,Chipotle Mexican Grill Inc,Common stocks,Large cap,Consumer Discretionary,"$50,763,774,143 ",0.00%,USA,Analyze
BLD,Monster Beverage Corp,Common stocks,Large cap,Consumer Staples,"$50,741,972,832 ",0.00%,USA,Analyze
SRCL,Johnson Controls International Plc,Common stocks,Large cap,Industrials,"$50,628,754,028 ",1.49%,USA,Analyze
COG,Align Technology Inc,Common stocks,Large cap,Health Care,"$50,297,624,339 ",0.00%,USA,Analyze
BYD,Southern Copper Corp,Common stocks,Large cap,Materials,"$50,017,840,504 ",3.36%,Peru,Analyze
LEG,Ebay Inc,Common stocks,Large cap,Consumer Discretionary,"$49,909,227,453 ",0.92%,USA,Analyze
TNDM,Biogen Inc,Common stocks,Large cap,Health Care,"$49,468,670,735 ",0.00%,USA,Analyze
HBI,Lululemon Athletica Inc,Common stocks,Large cap,Consumer Discretionary,"$49,411,121,299 ",0.00%,USA,Analyze
SHC,KLA-Tencor Corporation,Common stocks,Large cap,Information Technology,"$48,840,174,517 ",1.12%,USA,Analyze
PB,Kraft Heinz,Common stocks,Large cap,Consumer Staples,"$48,338,782,877 ",3.99%,USA,Analyze
SON,Marvell Technology Group Ltd,Common stocks,Large cap,Information Technology,"$48,309,525,000 ",0.10%,USA,Analyze
DLB,Newmont Corporation,Common stocks,Large cap,Materials,"$48,259,226,568 ",2.87%,USA,Analyze
PLNT,IHS Markit Ltd,Common stocks,Large cap,Industrials,"$48,049,179,817 ",0.65%,USA,Analyze
MSA,Trane Technologies plc,Common stocks,Large cap,Industrials,"$47,769,714,523 ",1.12%,USA,Analyze
THO,MSCI Inc,Common stocks,Large cap,Financials,"$47,467,202,407 ",0.54%,USA,Analyze
MDU,"IQVIA Holdings, Inc.",Common stocks,Large cap,Health Care,"$47,395,891,718 ",0.00%,USA,Analyze
CACI,"Pinterest, Inc. Class A",Common stocks,Large cap,Communication Services,"$47,276,175,524 ",0.00%,USA,Analyze
LITE,T Rowe Price Group Inc,Common stocks,Large cap,Financials,"$46,784,425,232 ",1.88%,USA,Analyze
NFE,"L3Harris Technologies, Inc.",Common stocks,Large cap,Industrials,"$46,326,343,772 ",1.64%,USA,Analyze
HOG,Dow Inc.,Common stocks,Large cap,Materials,"$46,245,308,574 ",4.46%,USA,Analyze
HTA,Marriott International Inc,Common stocks,Large cap,Consumer Discretionary,"$46,225,772,234 ",0.00%,USA,Analyze
NXST,Agilent Technologies Inc,Common stocks,Large cap,Health Care,"$45,592,344,556 ",0.51%,USA,Analyze
COHR,Kimberly Clark Corp,Common stocks,Large cap,Consumer Staples,"$45,496,557,954 ",3.23%,USA,Analyze
MAN,Veeva Systems Inc Class A,Common stocks,Large cap,Health Care,"$45,366,587,567 ",0.00%,USA,Analyze
HLF,Exelon Corp,Common stocks,Large cap,Utilities,"$45,350,702,656 ",3.25%,USA,Analyze
PRGO,Workday Inc,Common stocks,Large cap,Information Technology,"$45,097,290,000 ",0.00%,USA,Analyze
LFUS,Carrier Global Corporation,Common stocks,Large cap,Industrials,"$44,762,112,735 ",0.85%,USA,Analyze
CFX,Fortinet Inc,Common stocks,Large cap,Information Technology,"$44,477,929,346 ",0.00%,USA,Analyze
SNX,Match Group Inc,Common stocks,Large cap,Communication Services,"$44,387,199,200 ",1.22%,USA,Analyze
NCNO,Bank Of New York Mellon Corp,Common stocks,Large cap,Financials,"$43,992,912,562 ",2.50%,USA,Analyze
REYN,American Electric Power Inc,Common stocks,Large cap,Utilities,"$43,862,037,404 ",0.78%,USA,Analyze
AYI,Dexcom Inc,Common stocks,Large cap,Health Care,"$43,767,144,002 ",0.00%,USA,Analyze
SNV,Ross Stores Inc,Common stocks,Large cap,Consumer Discretionary,"$43,707,998,434 ",0.47%,USA,Analyze
FL,Spotify Technology SA,Common stocks,Large cap,Communication Services,"$43,546,790,000 ",0.00%,Luxembourg,Analyze
OLLI,Synopsys Inc,Common stocks,Large cap,Information Technology,"$43,314,489,497 ",0.00%,USA,Analyze
QDEL,"Digital Realty Trust, Inc",REITs,Large cap,Real Estate,"$43,302,555,276 ",2.93%,USA,Analyze
COR,EOG Resources Inc,Common stocks,Large cap,Energy,"$43,285,991,899 ",2.10%,USA,Analyze
DEI,Oreilly Automotive Inc,Common stocks,Large cap,Consumer Discretionary,"$43,221,531,591 ",0.00%,USA,Analyze
NCR,Aptiv Plc,Common stocks,Large cap,Consumer Discretionary,"$43,206,424,153 ",0.00%,Ireland,Analyze
INGR,Constellation Brands Class A,Common stocks,Large cap,Consumer Staples,"$43,034,426,674 ",1.00%,USA,Analyze
LSTR,Centene Corp,Common stocks,Large cap,Health Care,"$42,347,336,245 ",0.00%,USA,Analyze
CDK,Amphenol Corp,Common stocks,Large cap,Information Technology,"$42,275,336,033 ",0.58%,USA,Analyze
TKR,"Simon Property Group, Inc",REITs,Large cap,Real Estate,"$41,733,342,726 ",4.10%,USA,Analyze
DCT,Electronic Arts Inc,Common stocks,Large cap,Communication Services,"$41,569,268,314 ",0.35%,USA,Analyze
CUZ,Schlumberger Nv,Common stocks,Large cap,Energy,"$41,194,874,360 ",1.69%,USA,Analyze
IART,American International Group Inc,Common stocks,Large cap,Financials,"$40,941,890,268 ",2.66%,USA,Analyze
BPOP,Walgreen Boots Alliance Inc,Common stocks,Large cap,Consumer Staples,"$40,870,650,209 ",3.90%,USA,Analyze
QS,Cintas Corp,Common stocks,Large cap,Industrials,"$40,835,649,614 ",1.10%,USA,Analyze
ESI,Baxter International Inc,Common stocks,Large cap,Health Care,"$40,615,355,475 ",1.25%,USA,Analyze
HUN,Paychex Inc,Common stocks,Large cap,Information Technology,"$40,545,665,246 ",2.21%,USA,Analyze
EQT,Kinder Morgan Inc,Common stocks,Large cap,Energy,"$40,412,065,811 ",5.78%,USA,Analyze
SRC,Cadence Design Systems Inc,Common stocks,Large cap,Information technology,"$40,340,077,050 ",0.00%,USA,Analyze
PRI,Palantir Technologies Inc.,Common stocks,Large cap,Information Technology,"$39,949,651,048 ",0.00%,USA,Analyze
AZEK,Parker-Hannifin Corp,Common stocks,Large cap,Industrials,"$39,907,969,872 ",1.18%,USA,Analyze
BOKF,"DuPont de Nemours, Inc.",Common stocks,Large cap,Materials,"$39,724,425,382 ",1.60%,USA,Analyze
SLM,Prudential Financial Inc,Common stocks,Large cap,Financials,"$39,691,560,000 ",4.39%,USA,Analyze
UNM,Sempra Energy,Common stocks,Large cap,Utilities,"$39,570,824,144 ",3.26%,USA,Analyze
EXP,PPG Industries Inc,Common stocks,Large cap,Materials,"$39,149,594,305 ",1.30%,USA,Analyze
NCLH,Allstate Corp,Common stocks,Large cap,Financials,"$39,063,698,262 ",2.05%,USA,Analyze
NOV,Palo Alto Networks Inc,Common stocks,Large cap,Information Technology,"$38,857,986,413 ",0.00%,USA,Analyze
PSTG,Otis Worldwide Corporation,Common stocks,Large cap,Industrials,"$38,219,513,341 ",0.72%,USA,Analyze
EVR,Microchip Technology Inc,Common stocks,Large cap,Information Technology,"$38,198,455,672 ",1.10%,USA,Analyze
TDC,Discover Financial Services,Common stocks,Large cap,Financials,"$38,031,670,118 ",1.05%,USA,Analyze
VVV,Resmed Inc,Common stocks,Large cap,Health Care,"$37,796,801,684 ",0.60%,USA,Analyze
SKLZ,Motorola Solutions Inc,Common stocks,Large cap,Information Technology,"$37,779,903,419 ",1.24%,USA,Analyze
HAYW,Sysco Corp,Common stocks,Large cap,Consumer Staples,"$37,509,184,835 ",2.46%,USA,Analyze
LPX,Travelers Companies Inc,Common stocks,Large cap,Financials,"$37,129,533,378 ",2.29%,USA,Analyze
ACHC,Hershey Foods,Common stocks,Large cap,Consumer Staples,"$37,049,276,000 ",1.79%,USA,Analyze
VNT,International Flavors & Fragrances,Common stocks,Large cap,Materials,"$37,039,277,846 ",2.05%,USA,Analyze
NATI,SBA Communications Corporation,REITs,Large cap,Real Estate,"$36,979,262,449 ",0.62%,USA,Analyze
IBKR,Republic Services Inc,Common stocks,Large cap,Industrials,"$36,950,449,662 ",1.46%,USA,Analyze
TFSL,Okta Inc Class A,Common stocks,Large cap,Information Technology,"$36,817,977,559 ",0.00%,USA,Analyze
BWXT,Yum Brands Inc,Common stocks,Large cap,Consumer Discretionary,"$36,775,897,338 ",1.56%,USA,Analyze
FLS,Xcel Energy Inc,Common stocks,Large cap,Utilities,"$36,764,906,508 ",2.57%,USA,Analyze
RBC,Cognizant Technology Solutions,Common stocks,Large cap,Information Technology,"$36,618,207,106 ",1.32%,USA,Analyze
DV,Welltower Inc,REITs,Large cap,Real Estate,"$36,574,795,800 ",2.75%,USA,Analyze
LMND,Aflac Inc,Common stocks,Large cap,Financials,"$36,498,130,466 ",2.26%,USA,Analyze
CR,General Mills Inc,Common stocks,Large cap,Consumer Staples,"$36,019,721,403 ",3.42%,USA,Analyze
RARE,KKR & Co Inc.,Common stocks,Large cap,Financials,"$35,971,379,803 ",0.67%,USA,Analyze
CC,"Cloudflare, Inc. Class A",Common stocks,Large cap,Information Technology,"$35,871,129,000 ",0.00%,USA,Analyze
MDLA,Transdigm Group Inc,Common stocks,Large cap,Industrials,"$35,715,023,271 ",21.63%,USA,Analyze
